Degree;Field;Study_program;University;City
Master Degree;Engineering;Information and Communication Technology MSc;FAU Erlangen-Nuernberg;Erlangen
Master Degree;Engineering;Clean Energy Processes;FAU Erlangen-Nuernberg;Erlangen
Master Degree;Engineering;MSc Electromobility – ACES;FAU Erlangen-Nuernberg;Erlangen
Master Degree;Engineering;MSc Materials Science and Engineering;FAU Erlangen-Nuernberg;Erlangen
Master Degree;Engineering;MSc Nanotechnology;FAU Erlangen-Nuernberg;Erlangen
Master Degree;Engineering;MSc Autonomy Technologies;FAU Erlangen-Nuernberg;Erlangen
Master Degree;Engineering;Master of Science in Water Science;University of Duisburg-Essen;Essen
Master Degree;Engineering;Smart Energy Systems;Ansbach University of Applied Sciences;Feuchtwangen
Master Degree;Engineering;Sustainable Building Systems;Ansbach University of Applied Sciences;Feuchtwangen
Master Degree;Engineering;Energy and Environmental Management in Developing Countries (MEng);Europa-Universitaet Flensburg;Flensburg
Master Degree;Engineering;Information Technology (IT);Frankfurt University of Applied Sciences;Frankfurt am Main
Master Degree;Engineering;Advanced Architecture — From Urban Design to Building Construction;Frankfurt University of Applied Sciences;Frankfurt am Main
Master Degree;Engineering;Renewable Energy Master of Engineering (MEng);Frankfurt University of Applied Sciences;Frankfurt am Main
Master Degree;Engineering;International Master's in Groundwater Management;TU Bergakademie Freiberg;Freiberg
Master Degree;Engineering;Computational Materials Science (CMS);TU Bergakademie Freiberg;Freiberg
Master Degree;Engineering;Master of Sustainable Mining and Remediation Management (MoRe);TU Bergakademie Freiberg;Freiberg
Master Degree;Engineering;Technology and Application of Inorganic Engineering Materials (TAIEM);TU Bergakademie Freiberg;Freiberg
Master Degree;Engineering;Metallic Materials Technology;TU Bergakademie Freiberg;Freiberg
Master Degree;Engineering;Advanced Materials Analysis;TU Bergakademie Freiberg;Freiberg
Master Degree;Engineering;Geomatics for Mineral Resource Management (MGMRM);TU Bergakademie Freiberg;Freiberg
Master Degree;Engineering;Mechanical and Process Engineering;TU Bergakademie Freiberg;Freiberg
Master Degree;Engineering;Sustainable Resource Management;Technical University Munich;Freising
Master Degree;Engineering;Control, Computer and Communications Engineering (CCCE);TH Mittelhessen University of Applied Sciences - THM;Friedberg (Hessen)
Master Degree;Engineering;Computational Science and Engineering (CSE);Technical University Munich;Garching b. Muenchen
Master Degree;Engineering;Master's Mathematics in Science and Engineering;Technical University Munich;Garching b. Muenchen
Master Degree;Engineering;Biomedical Engineering and Medical Physics;Technical University Munich;Garching b. Muenchen
Master Degree;Engineering;Master of Science in Polymer Materials Science;Martin Luther University Halle-Wittenberg;Halle (Saale)
Master Degree;Engineering;Information and Communication Systems;Hamburg University of Technology;Hamburg
Master Degree;Engineering;Microelectronics and Microsystems;Hamburg University of Technology;Hamburg
Master Degree;Engineering;Environmental Engineering;Hamburg University of Technology;Hamburg
Master Degree;Engineering;Biomedical Engineering (MSc);Hamburg University of Applied Sciences;Hamburg
Master Degree;Engineering;MSc Pharmaceutical Biotechnology;Hamburg University of Applied Sciences;Hamburg
Master Degree;Engineering;MSc Renewable Energy Systems;Hamburg University of Applied Sciences;Hamburg
Master Degree;Engineering;Resource Efficiency in Architecture and Planning (REAP);HafenCity University Hamburg;Hamburg
Master Degree;Engineering;Chemical and Bioprocess Engineering;Hamburg University of Technology;Hamburg
Master Degree;Engineering;Master of Science in Geodesy and Geoinformatics, Specialisation Hydrography;HafenCity University Hamburg;Hamburg
Master Degree;Engineering;Master of Science in Process Engineering;Hamburg University of Applied Sciences;Hamburg
Master Degree;Engineering;International Master of Science in Water Resources and Environmental Management (WATENV);Leibniz Universitaet Hannover;Hannover
Master Degree;Engineering;Geodesy and Geoinformatics – Specialisation in Geomatics;Leibniz Universitaet Hannover;Hannover
Master Degree;Engineering;Optical Technologies - Photonics and Laser Technology;Leibniz Universitaet Hannover;Hannover
Master Degree;Engineering;Quantum Engineering (Master of Science);Leibniz Universitaet Hannover;Hannover
Master Degree;Engineering;Environmental Engineering – Specialisation Resources and Environment (Double Degree Option);Leibniz Universitaet Hannover;Hannover
Master Degree;Engineering;Computer Engineering – Master of Science;Leibniz Universitaet Hannover;Hannover
Master Degree;Engineering;Applied Research in Computer Science (MSc);Hof University of Applied Sciences;Hof
Master Degree;Engineering;Sustainable Textiles (MEng);Hof University of Applied Sciences;Hof
Master Degree;Engineering;Sustainable Water Management and Engineering;Hof University of Applied Sciences;Hof
Master Degree;Engineering;Research in Media Engineering MSc Programme;Technische Universitaet Ilmenau;Ilmenau
Master Degree;Engineering;Master of Science in Micro- and Nanotechnologies;Technische Universitaet Ilmenau;Ilmenau
Master Degree;Engineering;Master's in Automotive Production Engineering (MAPE);Technische Hochschule Ingolstadt;Ingolstadt
Master Degree;Engineering;Renewable Energy Systems (RES);Technische Hochschule Ingolstadt;Ingolstadt
Master Degree;Engineering;International Automotive Engineering (MEng);Technische Hochschule Ingolstadt;Ingolstadt
Master Degree;Engineering;Engineering and Management;Technische Hochschule Ingolstadt;Ingolstadt
Master Degree;Engineering;Global Foresight and Technology Management;Technische Hochschule Ingolstadt;Ingolstadt
Master Degree;Engineering;AI Engineering of Autonomous Systems;Technische Hochschule Ingolstadt;Ingolstadt
Master Degree;Engineering;Master of Science in Scientific Instrumentation;University of Applied Sciences Jena;Jena
Master Degree;Engineering;Master of Science in Photonics;Friedrich Schiller University Jena;Jena
Master Degree;Engineering;Master of Science in Medical Photonics;Friedrich Schiller University Jena;Jena
Master Degree;Engineering;Master of Science in Nuclear Applications (MNA);FH Aachen University of Applied Sciences;Juelich
Master Degree;Engineering;Embedded Computing Systems (ESY);RPTU University of Kaiserslautern-Landau;Kaiserslautern
Master Degree;Engineering;Mechanical Engineering/Mechatronics (MSc);Kaiserslautern University of Applied Sciences;Kaiserslautern
Master Degree;Engineering;Automation & Control (A&C);RPTU University of Kaiserslautern-Landau;Kaiserslautern
Master Degree;Engineering;Electrical Communication Engineering (MSc);University of Kassel;Kassel
Master Degree;Engineering;Electrical Engineering;Kempten University of Applied Sciences;Kempten (Allgaeu)
Master Degree;Engineering;Master of Science in Materials Science and Engineering;Kiel University;Kiel
Master Degree;Engineering;Master of Science in Electrical and Information Engineering;Kiel University;Kiel
Master Degree;Engineering;Bionics MSc;Rhine-Waal University of Applied Sciences;Kleve
Master Degree;Engineering;Mechanical Engineering, MSc;Rhine-Waal University of Applied Sciences;Kleve
Master Degree;Engineering;Autonomous Driving;Coburg University of Applied Sciences and Arts;Kronach
Master Degree;Engineering;Integrated Water Resources Management (MSc Joint Exchange Programme, Focus on Middle East and Northern Africa);TH Koeln (University of Applied Sciences);Koeln
Master Degree;Engineering;Automation & IT (Master of Engineering);TH Koeln (University of Applied Sciences);Koeln
Master Degree;Engineering;Natural Resources Management and Development (Master of Science);TH Koeln (University of Applied Sciences);Koeln
Master Degree;Engineering;Communication Systems and Networks (Master of Science);TH Koeln (University of Applied Sciences);Koeln
Master Degree;Engineering;Renewable Energy Management (Master of Science);TH Koeln (University of Applied Sciences);Koeln
Master Degree;Engineering;Integrated Water Resources Management (Master of Science);TH Koeln (University of Applied Sciences);Koeln
Master Degree;Engineering;MSc Human Technology in Sports and Medicine;German Sport University Cologne;Koeln
Master Degree;Engineering;MSc Photovoltaics Engineering Science;Anhalt University of Applied Sciences;Koethen / Anhalt
Master Degree;Engineering;International Master's in Biomedical Engineering (BME);Anhalt University of Applied Sciences;Koethen / Anhalt
Master Degree;Engineering;Electrical and Computer Engineering (M Eng);Anhalt University of Applied Sciences;Koethen / Anhalt
Master Degree;Engineering;Maritime Operations;Hochschule Emden/Leer - University of Applied Sciences;Leer (Ostfriesland)
Master Degree;Engineering;Information Technology;OWL University of Applied Sciences and Arts;Lemgo
Master Degree;Engineering;Biomedical Engineering, Master of Science;Technische Hochschule Luebeck;Luebeck
Master Degree;Engineering;Mechanical Engineering, MSc;Technische Hochschule Luebeck;Luebeck
Master Degree;Engineering;Water Engineering (WEM, MSc);Technische Hochschule Luebeck;Luebeck
Master Degree;Engineering;Medical Microtechnology (MSc);Technische Hochschule Luebeck;Luebeck
Master Degree;Engineering;Chemical and Energy Engineering;Otto von Guericke University Magdeburg;Magdeburg
Master Degree;Engineering;Digital Engineering (DigiEng);Otto von Guericke University Magdeburg;Magdeburg
Master Degree;Engineering;Process Safety and Environmental Engineering (PSEE);Otto von Guericke University Magdeburg;Magdeburg
Master Degree;Engineering;Electrical Engineering and Information Technology;Otto von Guericke University Magdeburg;Magdeburg
Master Degree;Engineering;Water Engineering;Magdeburg-Stendal University of Applied Sciences;Magdeburg
Master Degree;Engineering;Medical Systems Engineering (MSE);Otto von Guericke University Magdeburg;Magdeburg
Master Degree;Engineering;Biomechanical Engineering;Otto von Guericke University Magdeburg;Magdeburg
Master Degree;Engineering;Computational Methods in Engineering (CoME);Otto von Guericke University Magdeburg;Magdeburg
Master Degree;Engineering;Functional Materials MSc;Philipps-Universitaet Marburg;Marburg
Master Degree;Engineering;Computational Mechanics;Technical University Munich;Muenchen
Master Degree;Engineering;Master of Science in Communications and Electronics Engineering (MSCE);Technical University Munich;Muenchen
Master Degree;Engineering;Master of Science in Earth-Oriented Space Science and Technology (ESPACE);Technical University Munich;Muenchen
Master Degree;Engineering;Master of Science in Environmental Engineering;Technical University Munich;Muenchen
Master Degree;Engineering;Elite Master of Science in Neuroengineering (MSNE);Technical University Munich;Muenchen
Master Degree;Engineering;Master's in Micro- and Nanotechnology;Hochschule Muenchen University of Applied Sciences;Muenchen
Master Degree;Engineering;Master of Science in Photonics;Hochschule Muenchen University of Applied Sciences;Muenchen
Master Degree;Engineering;Master of Science in Power Engineering (MSC-PE);Technical University Munich;Muenchen
Master Degree;Engineering;Transportation Systems;Technical University Munich;Muenchen
Master Degree;Engineering;Master of Science in Materials Science and Engineering (MSC-MS&E);Technical University Munich;Muenchen
Master Degree;Engineering;Landscape Studies and Greenspace Management;Neubrandenburg University of Applied Sciences;Neubrandenburg
Master Degree;Engineering;Geomatics;Neubrandenburg University of Applied Sciences;Neubrandenburg
Master Degree;Engineering;Renewable Energy Systems;Nordhausen University of Applied Sciences;Nordhausen
Master Degree;Engineering;Computer Engineering for IoT Systems;Nordhausen University of Applied Sciences;Nordhausen
Master Degree;Engineering;Environmental and Recycling Technology;Nordhausen University of Applied Sciences;Nordhausen
Master Degree;Engineering;Master of Science in Engineering Physics;Carl von Ossietzky University of Oldenburg;Oldenburg
Master Degree;Engineering;Digitalised Energy Systems;Carl von Ossietzky University of Oldenburg;Oldenburg
Master Degree;Engineering;Master of Science in Optoelectronics & Photonics;Paderborn University;Paderborn
Master Degree;Engineering;Master of Science in Materials Science;Paderborn University;Paderborn
Master Degree;Engineering;Master of Science in Computer Engineering;Paderborn University;Paderborn
Master Degree;Engineering;MEng Master of Healthy and Sustainable Buildings;Deggendorf Institute of Technology;Pfarrkirchen
Master Degree;Engineering;Refinement of Polymer and Composite Products;Kaiserslautern University of Applied Sciences;Pirmasens
Master Degree;Engineering;MSc Remote Sensing, geoInformation, and Visualisation (RSIV);University of Potsdam;Potsdam
Master Degree;Engineering;Data Science;University of Potsdam;Potsdam
Master Degree;Engineering;Electrical and Microsystems Engineering;OTH Regensburg;Regensburg
Master Degree;Engineering;Engineering Sciences (Mechanical & Plastics Engineering / Mechatronics / Electrical Engineering & Information Technology);Rosenheim Technical University of Applied Sciences;Rosenheim
Master Degree;Engineering;Master of Science in Wood Technology;Rosenheim Technical University of Applied Sciences;Rosenheim
Master Degree;Engineering;Computational Science and Engineering (CSE);University of Rostock;Rostock
Master Degree;Engineering;Electrical Engineering (EE);University of Rostock;Rostock
Master Degree;Engineering;Neural Engineering (MSc);htw saar - University of Applied Sciences;Saarbruecken
Master Degree;Engineering;Autonomous Systems (MSc);Hochschule Bonn-Rhein-Sieg;Sankt Augustin
Master Degree;Engineering;Mechatronics and Robotics (MEng);Schmalkalden University of Applied Sciences;Schmalkalden
Master Degree;Engineering;Mechatronics;University of Siegen;Siegen
Master Degree;Engineering;Nanoscience and Nanotechnology;University of Siegen;Siegen
Master Degree;Engineering;Electrical Engineering (Electronics Design or Communication Engineering);University of Siegen;Siegen
Master Degree;Engineering;Quantum Science;University of Siegen;Siegen
Master Degree;Engineering;MSc Systems Engineering & Engineering Management;South Westphalia University of Applied Sciences;Soest
Master Degree;Engineering;Master Materials Science and Engineering (MSc);FH Muenster University of Applied Sciences;Steinfurt
Master Degree;Engineering;Simulation and System Design (SSD);Stralsund University of Applied Sciences;Stralsund
Master Degree;Engineering;Renewable Energy and E-Mobility (REEM);Stralsund University of Applied Sciences;Stralsund
Master Degree;Engineering;Master of Science in Applied Statistics;Trier University;Trier
Master Degree;Engineering;Master of Science in Data Science;Trier University;Trier
Master Degree;Engineering;Natural Hazards and Risks in Structural Engineering (NHRE);Bauhaus-Universitaet Weimar;Weimar
Master Degree;Engineering;Integrated Urban Development and Design;Bauhaus-Universitaet Weimar;Weimar
Master Degree;Engineering;European Urban Studies (EUS);Bauhaus-Universitaet Weimar;Weimar
Master Degree;Engineering;Digital Engineering;Bauhaus-Universitaet Weimar;Weimar
Master Degree;Engineering;Technology and Innovation Management;Harz University of Applied Sciences;Wernigerode
Master Degree;Engineering;Technical Management (MEng);Technical University of Applied Sciences Wildau;Wildau
Master Degree;Engineering;Computer Simulation in Science (MSc);University of Wuppertal;Wuppertal
Master Degree;Engineering;Artificial Intelligence (MSc);Technical University of Applied Sciences Wuerzburg-Schweinfurt (THWS);Wuerzburg
Master Degree;Engineering;MEng Business Engineering;Technical University of Applied Sciences Wuerzburg-Schweinfurt (THWS);Wuerzburg
Master Degree;Engineering;Road Traffic Engineering;Westsaechsische Hochschule Zwickau - University of Applied Sciences Zwickau;Zwickau
Master Degree;Engineering;Internet of Things (IoT) and Smart Systems;Westsaechsische Hochschule Zwickau - University of Applied Sciences Zwickau;Zwickau
Master Degree;Engineering;Advanced Green Engineering and Sustainable Management;Westsaechsische Hochschule Zwickau - University of Applied Sciences Zwickau;Zwickau
Master Degree;Languages and Cultural Studies;English and American Studies;University of Augsburg;Augsburg
Master Degree;Languages and Cultural Studies;MA Research on Learning and Instruction;University of Augsburg;Augsburg
Master Degree;Languages and Cultural Studies;European Joint Master's Programme in English and American Studies;University of Bamberg;Bamberg
Master Degree;Languages and Cultural Studies;Cultural Studies of the Middle East;University of Bamberg;Bamberg
Master Degree;Languages and Cultural Studies;Intercultural Anglophone Studies;University of Bayreuth;Bayreuth
Master Degree;Languages and Cultural Studies;African Verbal and Visual Arts: Languages, Literatures, Media and Art;University of Bayreuth;Bayreuth
Master Degree;Languages and Cultural Studies;History & Economics (Master of Arts);University of Bayreuth;Bayreuth
Master Degree;Languages and Cultural Studies;Philosophy & Economics (P&E);University of Bayreuth;Bayreuth
Master Degree;Languages and Cultural Studies;Global History;University of Bayreuth;Bayreuth
Master Degree;Languages and Cultural Studies;European Interdisciplinary Master in African Studies (EIMAS);University of Bayreuth;Bayreuth
Master Degree;Languages and Cultural Studies;Religion and Global Futures;University of Bayreuth;Bayreuth
Master Degree;Languages and Cultural Studies;Master of Arts in North American Studies;Freie Universitaet Berlin;Berlin
Master Degree;Languages and Cultural Studies;International Master's Programme in Computational Neuroscience;Technische Universitaet Berlin;Berlin
Master Degree;Languages and Cultural Studies;Master's in Global History;Freie Universitaet Berlin;Berlin
Master Degree;Languages and Cultural Studies;Master's in Mind and Brain;Humboldt-Universitaet zu Berlin;Berlin
Master Degree;Languages and Cultural Studies;International Security Management;Hochschule fuer Wirtschaft und Recht Berlin;Berlin
Master Degree;Languages and Cultural Studies;Interdisciplinary Studies of the Middle East (ISME);Freie Universitaet Berlin;Berlin
Master Degree;Languages and Cultural Studies;MSc in Cognitive Neuroscience (MCNB);Freie Universitaet Berlin;Berlin
Master Degree;Languages and Cultural Studies;Digital Studies of Ancient Texts (DISTANT);Freie Universitaet Berlin;Berlin
Master Degree;Languages and Cultural Studies;Iranian Studies: Iran in Antiquity and Late Antiquity;Freie Universitaet Berlin;Berlin
Master Degree;Languages and Cultural Studies;Behaviour: From Neural Mechanisms to Evolution, MSc;Bielefeld University;Bielefeld
Master Degree;Languages and Cultural Studies;British and American Studies, Master of Arts;Bielefeld University;Bielefeld
Master Degree;Languages and Cultural Studies;Binational Master's in History (Bielefeld-Bologna);Bielefeld University;Bielefeld
Master Degree;Languages and Cultural Studies;World Studies: Orders, Politics, Cultures;Bielefeld University;Bielefeld
Master Degree;Languages and Cultural Studies;Master's in European Culture and Economy (ECUE);Ruhr-Universitaet Bochum;Bochum
Master Degree;Languages and Cultural Studies;Master of Arts Programme in Ethics – Economics, Law and Politics;Ruhr-Universitaet Bochum;Bochum
Master Degree;Languages and Cultural Studies;Cognitive Science (MSc);Ruhr-Universitaet Bochum;Bochum
Master Degree;Languages and Cultural Studies;Religious Studies;Ruhr-Universitaet Bochum;Bochum
Master Degree;Languages and Cultural Studies;Master's in Theoretical Philosophy;Ruhr-Universitaet Bochum;Bochum
Master Degree;Languages and Cultural Studies;Linguistic Data Science (MA);Ruhr-Universitaet Bochum;Bochum
Master Degree;Languages and Cultural Studies;Ecumenical and Extended Ecumenical Studies;University of Bonn;Bonn
Master Degree;Languages and Cultural Studies;Applied Linguistics;University of Bonn;Bonn
Master Degree;Languages and Cultural Studies;Dependency and Slavery Studies;University of Bonn;Bonn
Master Degree;Languages and Cultural Studies;North American Studies (NAS);University of Bonn;Bonn
Master Degree;Languages and Cultural Studies;Slavery Studies;University of Bonn;Bonn
Master Degree;Languages and Cultural Studies;Biblical Studies;University of Bonn;Bonn
Master Degree;Languages and Cultural Studies;MSc Physical Geography: Environmental History;University of Bremen;Bremen
Master Degree;Languages and Cultural Studies;Digital Media and Society;University of Bremen;Bremen
Master Degree;Languages and Cultural Studies;English Studies;Chemnitz University of Technology;Chemnitz
Master Degree;Languages and Cultural Studies;World Heritage Studies (WHS On-Campus);Brandenburg University of Technology Cottbus-Senftenberg;Cottbus
Master Degree;Languages and Cultural Studies;Heritage Conservation and Site Management;Brandenburg University of Technology Cottbus-Senftenberg;Cottbus
Master Degree;Languages and Cultural Studies;World Heritage Studies Online (WHS Online);Brandenburg University of Technology Cottbus-Senftenberg;Cottbus
Master Degree;Languages and Cultural Studies;Data and Discourse Studies;Technical University of Darmstadt;Darmstadt
Master Degree;Languages and Cultural Studies;Cognitive Science;Technical University of Darmstadt;Darmstadt
Master Degree;Languages and Cultural Studies;Master's in International Media Cultural Work (IMC);Darmstadt University of Applied Sciences;Dieburg
Master Degree;Languages and Cultural Studies;Religion, Ethics, and Politics;TU Dortmund University;Dortmund
Master Degree;Languages and Cultural Studies;Comparative Studies in English and American Language, Literature and Culture;Heinrich Heine University Duesseldorf;Duesseldorf
Master Degree;Languages and Cultural Studies;International Relations (MIB);Catholic University of Eichstaett-Ingolstadt;Eichstaett
Master Degree;Languages and Cultural Studies;Global Communication: Politics and Society;University of Erfurt;Erfurt
Master Degree;Languages and Cultural Studies;Master of Arts in Religious Studies;University of Erfurt;Erfurt
Master Degree;Languages and Cultural Studies;MA North American Studies: Culture and Literature;FAU Erlangen-Nuernberg;Erlangen
Master Degree;Languages and Cultural Studies;MA English Studies;FAU Erlangen-Nuernberg;Erlangen
Master Degree;Languages and Cultural Studies;Standards of Decision-Making Across Cultures (SDAC);FAU Erlangen-Nuernberg;Erlangen
Master Degree;Languages and Cultural Studies;MSc Interdisciplinary Neuroscience (INS);Goethe University Frankfurt;Frankfurt am Main
Master Degree;Languages and Cultural Studies;Master's in Modern East Asian Studies (MEAS);Goethe University Frankfurt;Frankfurt am Main
Master Degree;Languages and Cultural Studies;Human Rights Studies in Politics, Law and Society;Fulda University of Applied Sciences;Fulda
Master Degree;Languages and Cultural Studies;History and Culture of the Baltic Sea Region;University of Greifswald;Greifswald
Master Degree;Languages and Cultural Studies;Neurosciences — International Max Planck Research School (MSc/PhD/MD-PhD);University of Goettingen;Goettingen
Master Degree;Languages and Cultural Studies;Modern Indian Studies;University of Goettingen;Goettingen
Master Degree;Languages and Cultural Studies;North American Studies (MA);University of Goettingen;Goettingen
Master Degree;Languages and Cultural Studies;English: Language, Literatures and Cultures;University of Goettingen;Goettingen
Master Degree;Languages and Cultural Studies;History of Global Markets (MA);University of Goettingen;Goettingen
Master Degree;Languages and Cultural Studies;Linguistics (MA);University of Goettingen;Goettingen
Master Degree;Languages and Cultural Studies;Master of Science in Politics, Economics and Philosophy;Universitaet Hamburg;Hamburg
Master Degree;Languages and Cultural Studies;Manuscript Cultures;Universitaet Hamburg;Hamburg
Master Degree;Languages and Cultural Studies;Languages and Cultures of Southeast Asia;Universitaet Hamburg;Hamburg
Master Degree;Languages and Cultural Studies;British and American Cultures: Texts and Media;Universitaet Hamburg;Hamburg
Master Degree;Languages and Cultural Studies;North American Studies;Leibniz Universitaet Hannover;Hannover
Master Degree;Languages and Cultural Studies;MA in Philosophy of Science;Leibniz Universitaet Hannover;Hannover
Master Degree;Languages and Cultural Studies;Religion in the Public Sphere (Double Degree Option);Leibniz Universitaet Hannover;Hannover
Master Degree;Languages and Cultural Studies;Cognitive Systems (MSc);University of Hildesheim;Hildesheim
Master Degree;Languages and Cultural Studies;Master's in Media and Communication Science;Technische Universitaet Ilmenau;Ilmenau
Master Degree;Languages and Cultural Studies;Business and Psychology;Catholic University of Eichstaett-Ingolstadt;Ingolstadt
Master Degree;Languages and Cultural Studies;Master of Arts in English Studies / American Studies;Friedrich Schiller University Jena;Jena
Master Degree;Languages and Cultural Studies;Master of Science in Cognitive Science;RPTU University of Kaiserslautern-Landau;Kaiserslautern
Master Degree;Languages and Cultural Studies;Usability Engineering, MSc;Rhine-Waal University of Applied Sciences;Kamp-Lintfort
Master Degree;Languages and Cultural Studies;International Management and Psychology, MSc;Rhine-Waal University of Applied Sciences;Kamp-Lintfort
Master Degree;Languages and Cultural Studies;MSc Psychology in Sport and Exercise;German Sport University Cologne;Koeln
Master Degree;Languages and Cultural Studies;Culture and Environment in Africa;University of Cologne;Koeln
Master Degree;Languages and Cultural Studies;Master's in Sociology – Social and Economic Psychology (Master of Science);University of Cologne;Koeln
Master Degree;Languages and Cultural Studies;Master of Arts in Digital and Computational Archaeology;University of Cologne;Koeln
Master Degree;Languages and Cultural Studies;Master of Arts Anthropology;Leipzig University;Leipzig
Master Degree;Languages and Cultural Studies;Master's in Sport and Exercise Psychology;Leipzig University;Leipzig
Master Degree;Languages and Cultural Studies;Arqus Joint Master's Programme in European Studies;Leipzig University;Leipzig
Master Degree;Languages and Cultural Studies;American Studies;Leipzig University;Leipzig
Master Degree;Languages and Cultural Studies;Master of Arts African Studies;Leipzig University;Leipzig
Master Degree;Languages and Cultural Studies;Cultural Studies: Culture and Organisation (MA);Leuphana University Lueneburg;Lueneburg
Master Degree;Languages and Cultural Studies;European Studies (MA);Otto von Guericke University Magdeburg;Magdeburg
Master Degree;Languages and Cultural Studies;Human Geography: Globalisation, Media, and Culture;Johannes Gutenberg University Mainz;Mainz
Master Degree;Languages and Cultural Studies;Master of Arts in English Literature and Culture;Johannes Gutenberg University Mainz;Mainz
Master Degree;Languages and Cultural Studies;International Master in Sociolinguistics and Multilingualism;Johannes Gutenberg University Mainz;Mainz
Master Degree;Languages and Cultural Studies;MA North American Studies;Philipps-Universitaet Marburg;Marburg
Master Degree;Languages and Cultural Studies;Neuro-Cognitive Psychology (NCP);Ludwig-Maximilians-Universitaet Muenchen;Muenchen
Master Degree;Languages and Cultural Studies;Master's Programme in Neurosciences;Ludwig-Maximilians-Universitaet Muenchen;Muenchen
Master Degree;Languages and Cultural Studies;MSc Psychology: Learning Sciences;Ludwig-Maximilians-Universitaet Muenchen;Muenchen
Master Degree;Languages and Cultural Studies;Elite Master of Science in Neuroengineering (MSNE);Technical University Munich;Muenchen
Master Degree;Languages and Cultural Studies;British, American and Postcolonial Studies (MA);University of Muenster;Muenster
Master Degree;Languages and Cultural Studies;Books — Literature — Culture — Language: National and Transnational Studies (MA);University of Muenster;Muenster
Master Degree;Languages and Cultural Studies;Master of Science in Neuroscience;Carl von Ossietzky University of Oldenburg;Oldenburg
Master Degree;Languages and Cultural Studies;Research Master's in Neurocognitive Psychology;Carl von Ossietzky University of Oldenburg;Oldenburg
Master Degree;Languages and Cultural Studies;Engineering of Socio-Technical Systems;Carl von Ossietzky University of Oldenburg;Oldenburg
Master Degree;Languages and Cultural Studies;Cognitive Science (MSc);Osnabrueck University;Osnabrueck
Master Degree;Languages and Cultural Studies;English and American Studies;Osnabrueck University;Osnabrueck
Master Degree;Languages and Cultural Studies;Master's in English and American Literary and Cultural Studies;Paderborn University;Paderborn
Master Degree;Languages and Cultural Studies;Master of Arts in Development Studies;University of Passau;Passau
Master Degree;Languages and Cultural Studies;International MSc Programme for Experimental and Clinical Linguistics (IECL);University of Potsdam;Potsdam
Master Degree;Languages and Cultural Studies;Anglophone Modernities in Literature and Culture;University of Potsdam;Potsdam
Master Degree;Languages and Cultural Studies;MSc Cognitive Science – Embodied Cognition;University of Potsdam;Potsdam
Master Degree;Languages and Cultural Studies;Jewish Theology;University of Potsdam;Potsdam
Master Degree;Languages and Cultural Studies;Cognitive Systems: Language, Learning, and Reasoning;University of Potsdam;Potsdam
Master Degree;Languages and Cultural Studies;Linguistics: Empirical and Theoretical Foundations;University of Potsdam;Potsdam
Master Degree;Languages and Cultural Studies;British Studies (MA);Universitaet Regensburg;Regensburg
Master Degree;Languages and Cultural Studies;European-American Studies (MA);Universitaet Regensburg;Regensburg
Master Degree;Languages and Cultural Studies;English Linguistics (MA);Universitaet Regensburg;Regensburg
Master Degree;Languages and Cultural Studies;Master in European Studies;Universitaet Regensburg;Regensburg
Master Degree;Languages and Cultural Studies;International Master's Programme in Language Science and Technology (LST);Saarland University;Saarbruecken
Master Degree;Languages and Cultural Studies;Roads to Democracies – Historical and Contemporary Perspectives on Politics and Culture;University of Siegen;Siegen
Master Degree;Languages and Cultural Studies;Human Computer Interaction (HCI);University of Siegen;Siegen
Master Degree;Languages and Cultural Studies;Master of Science in Natural Language Processing;Trier University;Trier
Master Degree;Languages and Cultural Studies;Agriculture, Ecology & Societies (AGES);University of Kassel;Witzenhausen
Master Degree;Law, Economics and Social Sciences;Sustainable Management – Water and Energy;RWTH Aachen University;Aachen
Master Degree;Law, Economics and Social Sciences;Engineering Geohazards (MSc);RWTH Aachen University;Aachen
Master Degree;Law, Economics and Social Sciences;International Product and Service Management (IPM);Ansbach University of Applied Sciences;Ansbach
Master Degree;Law, Economics and Social Sciences;Master of International Business and Finance;Augsburg Technical University of Applied Sciences;Augsburg
Master Degree;Law, Economics and Social Sciences;Master's in European Economic Studies (MSc in EES);University of Bamberg;Bamberg
Master Degree;Law, Economics and Social Sciences;Cultural Studies of the Middle East;University of Bamberg;Bamberg
Master Degree;Law, Economics and Social Sciences;Global Change Ecology (MSc);University of Bayreuth;Bayreuth
Master Degree;Law, Economics and Social Sciences;Economics;University of Bayreuth;Bayreuth
Master Degree;Law, Economics and Social Sciences;Development Studies;University of Bayreuth;Bayreuth
Master Degree;Law, Economics and Social Sciences;History & Economics (Master of Arts);University of Bayreuth;Bayreuth
Master Degree;Law, Economics and Social Sciences;Philosophy & Economics (P&E);University of Bayreuth;Bayreuth
Master Degree;Law, Economics and Social Sciences;European Interdisciplinary Master in African Studies (EIMAS);University of Bayreuth;Bayreuth
Master Degree;Law, Economics and Social Sciences;Environment, Climate Change and Health;University of Bayreuth;Bayreuth
Master Degree;Law, Economics and Social Sciences;Social and Cultural Anthropology;University of Bayreuth;Bayreuth
Master Degree;Law, Economics and Social Sciences;Master of Arts in North American Studies;Freie Universitaet Berlin;Berlin
Master Degree;Law, Economics and Social Sciences;International Marketing Management;Hochschule fuer Wirtschaft und Recht Berlin;Berlin
